# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 178 155  5.71194e-01   1.09413e-02   1.18029e-02  -1.52129e-06
 50 178 160  5.67674e-01   1.28282e-02   1.00865e-02  -1.19189e-06
 50 178 165  5.60476e-01   1.35493e-02   8.22258e-03  -9.04914e-07
 50 178 170  5.64209e-01   1.41444e-02   5.42064e-03  -5.36849e-07
 50 178 175  5.51715e-01   1.49370e-02   2.84604e-03  -1.00115e-07
 50 178 180  5.77607e-01   1.76660e-02   3.08049e-04   1.19313e-07
 50 177   0  5.16691e-01   1.53667e-02  -2.20893e-06  -2.11319e-08
 50 177   5  5.14205e-01   1.45713e-02  -2.03489e-03  -9.51796e-08
 50 177  10  5.13745e-01   1.38261e-02  -4.44521e-03  -2.89199e-07
 50 177  14  5.16045e-01   1.30952e-02  -7.27876e-03  -6.88665e-07
 50 177  20  5.19699e-01   1.16476e-02  -9.61553e-03  -9.70293e-07
 50 177  25  5.24084e-01   1.00819e-02  -1.15287e-02  -1.28360e-06
 50 177  29  5.27781e-01   8.32890e-03  -1.28926e-02  -1.49590e-06
 50 177  35  5.28250e-01   5.76856e-03  -1.38570e-02  -1.58327e-06
 50 177  40  5.30850e-01   3.29994e-03  -1.47917e-02  -1.67560e-06
 50 177  45  5.33287e-01   9.62473e-04  -1.55421e-02  -1.77998e-06
 50 177  50  5.38048e-01  -1.86227e-03  -1.55052e-02  -1.97507e-06
 50 177  55  5.46116e-01  -4.54342e-03  -1.53522e-02  -2.02204e-06
 50 177  59  5.52477e-01  -7.48133e-03  -1.47735e-02  -1.98753e-06
 50 177  65  5.57440e-01  -9.75532e-03  -1.33796e-02  -2.17300e-06
 50 177  70  5.60430e-01  -1.17329e-02  -1.11424e-02  -2.55267e-06
 50 177  75  5.63595e-01  -1.36570e-02  -8.67301e-03  -2.93394e-06
 50 177  80  5.64915e-01  -1.49265e-02  -6.42387e-03  -3.21039e-06
 50 177  85  5.64622e-01  -1.58556e-02  -4.06327e-03  -3.39933e-06
 50 177  90  5.65201e-01  -1.62475e-02  -1.04464e-03  -3.86287e-06
 50 177  95  5.64973e-01  -1.65444e-02   2.23127e-03  -3.79661e-06
 50 177 100  5.65482e-01  -1.63469e-02   4.86114e-03  -3.37752e-06
 50 177 105  5.64928e-01  -1.51949e-02   6.85344e-03  -3.92060e-06
 50 177 110  5.68344e-01  -1.35127e-02   9.49701e-03  -3.78539e-06
 50 177 115  5.72372e-01  -1.17474e-02   1.14486e-02  -3.52882e-06
 50 177 119  5.73849e-01  -9.41930e-03   1.30736e-02  -3.32972e-06
 50 177 125  5.73128e-01  -6.32946e-03   1.46071e-02  -3.45535e-06
 50 177 130  5.71489e-01  -3.63733e-03   1.53406e-02  -3.64944e-06
 50 177 135  5.74328e-01  -8.29486e-04   1.56325e-02  -3.84415e-06
 50 177 140  5.76872e-01   1.71889e-03   1.56570e-02  -3.55104e-06
 50 177 145  5.78649e-01   4.43804e-03   1.49333e-02  -3.29879e-06
 50 177 150  5.84831e-01   7.85161e-03   1.39781e-02  -2.91045e-06
