# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50   3  20  3.70915e-01  -4.37254e-03  -4.13572e-03   4.73730e-06
 50   3  25  3.70586e-01  -3.27300e-03  -4.94170e-03   5.92944e-06
 50   3  29  3.71576e-01  -2.26037e-03  -5.54937e-03   7.33703e-06
 50   3  35  3.72974e-01  -1.31475e-03  -6.07150e-03   8.32285e-06
 50   3  40  3.73797e-01  -3.53016e-04  -6.41092e-03   9.15572e-06
 50   3  45  3.73983e-01   7.32115e-04  -6.50747e-03   1.03482e-05
 50   3  50  3.74370e-01   1.72920e-03  -6.33469e-03   1.15218e-05
 50   3  55  3.74643e-01   2.97853e-03  -5.78271e-03   1.25567e-05
 50   3  59  3.74410e-01   3.99876e-03  -5.21834e-03   1.35333e-05
 50   3  65  3.73951e-01   4.81085e-03  -4.53354e-03   1.49823e-05
 50   3  70  3.73195e-01   5.45216e-03  -3.47747e-03   1.57714e-05
 50   3  75  3.72382e-01   6.05777e-03  -2.40692e-03   1.62872e-05
 50   3  80  3.72259e-01   6.64419e-03  -1.36437e-03   1.59734e-05
 50   3  85  3.72624e-01   6.97659e-03  -2.69873e-04   1.64854e-05
 50   3  90  3.72406e-01   6.87931e-03   9.44555e-04   1.44720e-05
 50   3  95  3.71810e-01   6.59379e-03   2.11277e-03   1.42249e-05
 50   3 100  3.71330e-01   6.31151e-03   3.09819e-03   1.54190e-05
 50   3 105  3.71513e-01   5.85142e-03   4.11016e-03   1.41979e-05
 50   3 110  3.71075e-01   4.99954e-03   5.11576e-03   1.35780e-05
 50   3 115  3.70926e-01   4.07015e-03   5.94597e-03   1.35332e-05
 50   3 119  3.70948e-01   2.93583e-03   6.66959e-03   1.24657e-05
 50   3 125  3.70672e-01   1.90912e-03   7.02446e-03   1.13805e-05
 50   3 130  3.70882e-01   7.88496e-04   7.23503e-03   1.03471e-05
 50   3 135  3.71947e-01  -4.95169e-04   7.25940e-03   9.42845e-06
 50   3 140  3.72737e-01  -1.57732e-03   7.08879e-03   8.68858e-06
 50   3 145  3.72961e-01  -2.86072e-03   6.90359e-03   7.99209e-06
 50   3 150  3.72940e-01  -4.11084e-03   6.22784e-03   6.93186e-06
 50   3 155  3.73172e-01  -5.08967e-03   5.52690e-03   5.54894e-06
 50   3 160  3.73288e-01  -5.83339e-03   4.76558e-03   4.28574e-06
 50   3 165  3.73719e-01  -6.45306e-03   3.65922e-03   3.31867e-06
 50   3 170  3.73791e-01  -6.91975e-03   2.49482e-03   2.39226e-06
 50   3 175  3.72998e-01  -7.34143e-03   1.28371e-03   1.18083e-06
 50   3 180  3.70989e-01  -7.41221e-03   5.67217e-05  -6.78421e-08
 50   4   0  3.70010e-01  -5.56750e-03  -6.50607e-05   1.86040e-07
 50   4   5  3.72865e-01  -5.49272e-03  -1.24826e-03   1.93339e-06
 50   4  10  3.72334e-01  -5.30626e-03  -2.31897e-03   3.27411e-06
 50   4  14  3.71791e-01  -4.96572e-03  -3.28332e-03   4.47681e-06
 50   4  20  3.71268e-01  -4.14230e-03  -4.07534e-03   5.91787e-06
 50   4  25  3.70761e-01  -3.12344e-03  -4.85487e-03   7.83658e-06
 50   4  29  3.71669e-01  -2.14191e-03  -5.46575e-03   9.53009e-06
 50   4  35  3.73184e-01  -1.17388e-03  -5.98531e-03   1.06604e-05
 50   4  40  3.74477e-01  -2.11824e-04  -6.20463e-03   1.21201e-05
 50   4  45  3.74746e-01   9.02354e-04  -6.24312e-03   1.38679e-05
 50   4  50  3.75029e-01   1.88944e-03  -6.07467e-03   1.50169e-05
 50   4  55  3.74992e-01   3.09416e-03  -5.62870e-03   1.60405e-05
 50   4  59  3.74639e-01   4.09733e-03  -5.06283e-03   1.66755e-05
 50   4  65  3.74289e-01   4.85548e-03  -4.36026e-03   1.81095e-05
 50   4  70  3.73529e-01   5.49026e-03  -3.24209e-03   1.89417e-05
 50   4  75  3.72683e-01   6.09980e-03  -2.17588e-03   1.95987e-05
 50   4  80  3.72480e-01   6.68775e-03  -1.15588e-03   2.01564e-05
 50   4  85  3.72739e-01   7.00425e-03  -9.29790e-05   2.07420e-05
 50   4  90  3.72393e-01   6.93154e-03   1.10028e-03   1.89439e-05
 50   4  95  3.71775e-01   6.58655e-03   2.29622e-03   1.89999e-05
 50   4 100  3.71518e-01   6.25345e-03   3.23274e-03   1.93377e-05
 50   4 105  3.71748e-01   5.75823e-03   4.28860e-03   1.87010e-05
 50   4 110  3.71220e-01   4.87305e-03   5.29342e-03   1.77565e-05
 50   4 115  3.71189e-01   3.97719e-03   6.09583e-03   1.66148e-05
 50   4 119  3.71316e-01   2.85040e-03   6.78925e-03   1.49953e-05
 50   4 125  3.70917e-01   1.80957e-03   7.15202e-03   1.37968e-05
 50   4 130  3.71027e-01   6.71638e-04   7.38252e-03   1.30185e-05
 50   4 135  3.72237e-01  -5.99255e-04   7.41126e-03   1.21572e-05
 50   4 140  3.73409e-01  -1.76669e-03   7.21715e-03   1.12718e-05
 50   4 145  3.73863e-01  -3.04676e-03   7.01675e-03   1.03241e-05
 50   4 150  3.73592e-01  -4.27812e-03   6.38826e-03   8.97981e-06
 50   4 155  3.73691e-01  -5.26360e-03   5.70271e-03   7.36973e-06
 50   4 160  3.73743e-01  -6.03095e-03   4.90019e-03   6.03456e-06
 50   4 165  3.74447e-01  -6.62914e-03   3.74159e-03   4.14616e-06
 50   4 170  3.74683e-01  -7.11910e-03   2.54045e-03   3.00980e-06
 50   4 175  3.74296e-01  -7.48047e-03   1.29644e-03   1.73278e-06
 50   4 180  3.72297e-01  -7.61504e-03   5.66188e-05  -3.72121e-08
 50   5   0  3.70520e-01  -5.33896e-03  -6.47769e-05   1.95293e-07
