# wavelength = 0.8μm
# effective radius = 10μm
# optical thickness = 5
# sza vza phi I Q U V
 50 177 145  4.71757e-01  -1.43493e-03  -4.27291e-03  -7.44155e-06
 50 177 150  4.70613e-01  -2.21097e-03  -3.89469e-03  -6.66585e-06
 50 177 155  4.70541e-01  -2.65095e-03  -3.35650e-03  -6.21460e-06
 50 177 160  4.69376e-01  -3.08484e-03  -2.80810e-03  -5.65978e-06
 50 177 165  4.72926e-01  -3.90517e-03  -2.05983e-03  -4.28354e-06
 50 177 170  4.75082e-01  -4.29572e-03  -1.38700e-03  -2.53438e-06
 50 177 175  4.67119e-01  -4.00973e-03  -5.81601e-04  -1.64937e-06
 50 177 180  4.59795e-01  -3.75935e-03   5.80623e-05  -7.75201e-07
 50 176   0  4.31288e-01  -5.82779e-03   1.47787e-04  -3.45813e-07
 50 176   5  4.35257e-01  -5.62846e-03   9.91944e-04  -1.59828e-06
 50 176  10  4.39995e-01  -5.50624e-03   1.92998e-03  -2.23405e-06
 50 176  14  4.39721e-01  -5.28789e-03   2.91810e-03  -3.81353e-06
 50 176  20  4.40985e-01  -4.69055e-03   3.81532e-03  -5.00480e-06
 50 176  25  4.42109e-01  -3.88778e-03   4.49004e-03  -6.54194e-06
 50 176  29  4.43055e-01  -3.09020e-03   5.03531e-03  -7.80344e-06
 50 176  35  4.44138e-01  -2.30993e-03   5.46492e-03  -8.93258e-06
 50 176  40  4.44699e-01  -1.54318e-03   5.79083e-03  -1.01650e-05
 50 176  45  4.43803e-01  -5.32131e-04   5.89795e-03  -1.10624e-05
 50 176  50  4.44299e-01   4.96591e-04   5.83726e-03  -1.18934e-05
 50 176  55  4.45438e-01   1.47562e-03   5.67765e-03  -1.24376e-05
 50 176  59  4.45846e-01   2.34599e-03   5.20079e-03  -1.23006e-05
 50 176  65  4.45827e-01   2.95702e-03   4.75494e-03  -1.20474e-05
 50 176  70  4.46908e-01   3.52127e-03   4.11896e-03  -1.25592e-05
 50 176  75  4.47408e-01   4.19074e-03   3.28315e-03  -1.40669e-05
 50 176  80  4.49202e-01   4.60115e-03   2.42453e-03  -1.66097e-05
 50 176  85  4.51259e-01   4.86935e-03   1.48534e-03  -1.73982e-05
